,name,rate,depth,volume,comment,percentage,time,id
0,ETH,65.808763,4613938.93034,308251551.847553,@!#[.]?|=._,452856.0,2024-03-04 23:17:50,10025
1,ORDI,34.984008,1518616.9827,54645925.836957,@!#[.]?|=._,411250.0,2024-03-04 23:17:50,10026
2,DOGE,27.944001,4684439.41787,135586421.141211,@!#[.]?|=._,549811.0,2024-03-04 23:17:50,10027
3,FLOKI,16.70245,2519944.179062,44609185.063738,@!#[.]?|=._,768233.0,2024-03-04 23:17:50,10028
4,QTUM,16.021452,1030903.3958,17547472.6077,@!#[.]?|=._,555225.0,2024-03-04 23:17:50,10029
5,LEVER,15.66475,1246370.027545,20770445.335456,@!#[.]?|=._,528144.0,2024-03-04 23:17:50,10030
6,LINK,14.834696,1154959.5628,18288433.392558,@!#[.]?|=._,341316.0,2024-03-04 23:17:50,10031
7,JTO,12.5602,1381475.5447,18733084.999884,@!#[.]?|=._,546285.0,2024-03-04 23:17:50,10032
8,SOL,12.26949,11070502.4407,146899919.62551,@!#[.]?|=._,377365.0,2024-03-04 23:17:50,10033
9,RUNE,11.992365,1029865.2074,13380385.18044,@!#[.]?|=._,420789.0,2024-03-04 23:17:50,10034
10,SEI,9.136225,1132131.30449,11475537.776778,!~:[.]^|~!^,305646.0,2024-03-04 23:17:50,10035
11,DOT,8.763434,3203561.32245,31277757.948612,~_~^[.]^|!~,470113.0,2024-03-04 23:17:50,10036
12,EUR,8.533265,1350880.009106,12878296.954605,~_~^[.]^|!~,443961.0,2024-03-04 23:17:50,10037
13,ACE,8.230801,1159978.06861,10707527.129823,~_~^[.]^|!~,378324.0,2024-03-04 23:17:50,10038
14,RNDR,7.903014,1471218.16322,13098275.410911,''~[.]^|!~^,301992.0,2024-03-04 23:17:50,10039
15,GALA,7.740912,1703842.705,14893138.885737,''~[.]^|!~^,424184.0,2024-03-04 23:17:50,10040
16,UNI,7.615509,1579813.1829,13610895.427707,''~[.]^|!~^,547168.0,2024-03-04 23:17:50,10041
17,LTC,6.811025,2344193.96232,18310557.89172,!*!*[.]-|:~,383557.0,2024-03-04 23:17:50,10042
18,STX,6.703943,1312837.46409,10114024.522611,!*!*[.]-|:~,455843.0,2024-03-04 23:17:50,10043
19,BNB,6.513787,9061991.005252,68089870.20552,!*!*[.]-|:~,392940.0,2024-03-04 23:17:50,10044
20,NEO,6.150497,1760200.0602,12586305.81948,!*!*[.]-|:~,475997.0,2024-03-04 23:17:50,10045
21,MATIC,6.076739,4745484.06398,33582552.01752,!*!*[.]-|:~,572208.0,2024-03-04 23:17:50,10046
22,DYDX,6.044845,1779439.39027,12535875.176544,!*!*[.]-|:~,303097.0,2024-03-04 23:17:50,10047
23,XLM,5.604419,2106060.743862,13909308.5154,~*![.]?|--*,471313.0,2024-03-04 23:17:50,10048
24,FDUSD,4.187692,89317890.2819,463353724.60722,-:-:[.]^|[],917679.0,2024-03-04 23:17:50,10049
25,NEAR,3.95955,3758777.787,18641845.14519,:*:*[.]-|~:,481623.0,2024-03-04 23:17:50,10050
26,OP,3.542494,2917143.78014,13251108.606888,:*:*[.]-|~:,343748.0,2024-03-04 23:17:50,10051
27,AVAX,2.925447,7856843.7844,30841625.34204,~::[.]-|=@#,518972.0,2024-03-04 23:17:50,10052
28,BCH,0.541984,19555425.2652,30154158.09654,__@[.]-|=.~,840451.0,2024-03-04 23:17:50,10053
29,STRK,0.447856,8628087.08658,12492225.386988,__@[.]-|=.~,452549.0,2024-03-04 23:17:50,10054
30,ETH,91.205954,3746437.588035,345443851.362033,@!#[.]?|=._,402463.0,2024-03-04 23:48:35,10055
31,FLOKI,36.928334,1190564.246757,45156118.316978,@!#[.]?|=._,525791.0,2024-03-04 23:48:35,10056
32,DOGE,26.260767,5051873.99353,137717957.715006,@!#[.]?|=._,539054.0,2024-03-04 23:48:35,10057
33,CKB,23.003546,1433868.138689,34417919.139826,@!#[.]?|=._,608271.0,2024-03-04 23:48:35,10058
34,SHIB,22.600167,9168848.392902,216386352.677807,@!#[.]?|=._,433161.0,2024-03-04 23:48:35,10059
