,d,k,r
0,1000000,10000000,9.0
1,1000000,11000000,10.0
2,1000000,12000000,11.0
3,1000000,13000000,12.0
4,1000000,14000000,13.0
5,1000000,15000000,14.0
6,1000000,16000000,15.0
7,1000000,17000000,16.0
8,1000000,18000000,17.0
9,1000000,19000000,18.0
10,1000000,20000000,19.0
11,1000000,21000000,20.0
12,1000000,22000000,21.0
13,1000000,23000000,22.0
14,1000000,24000000,23.0
15,1000000,25000000,24.0
16,1000000,26000000,25.0
17,1000000,27000000,26.0
18,1000000,28000000,27.0
19,1000000,29000000,28.0
20,1000000,30000000,29.0
21,1000000,31000000,30.0
22,1000000,32000000,31.0
23,1000000,33000000,32.0
24,1000000,34000000,33.0
25,1000000,35000000,34.0
26,1000000,36000000,35.0
27,1000000,37000000,36.0
28,1000000,38000000,37.0
29,1000000,39000000,38.0
30,1000000,40000000,39.0
31,1000000,41000000,40.0
32,1000000,42000000,41.0
33,1000000,43000000,42.0
34,1000000,44000000,43.0
35,1000000,45000000,44.0
36,1000000,46000000,45.0
37,1000000,47000000,46.0
38,1000000,48000000,47.0
39,1000000,49000000,48.0
40,1000000,50000000,49.0
41,1000000,51000000,50.0
42,1000000,52000000,51.0
43,1000000,53000000,52.0
44,1000000,54000000,53.0
45,1000000,55000000,54.0
46,1000000,56000000,55.0
47,1000000,57000000,56.0
48,1000000,58000000,57.0
49,1000000,59000000,58.0
50,1000000,60000000,59.0
51,1000000,61000000,60.0
52,1000000,62000000,61.0
53,1000000,63000000,62.0
54,1000000,64000000,63.0
55,1000000,65000000,64.0
56,1000000,66000000,65.0
57,1000000,67000000,66.0
58,1000000,68000000,67.0
59,1000000,69000000,68.0
60,1000000,70000000,69.0
61,1000000,71000000,70.0
62,1000000,72000000,71.0
63,1000000,73000000,72.0
64,1000000,74000000,73.0
65,1000000,75000000,74.0
66,1000000,76000000,75.0
67,1000000,77000000,76.0
68,1000000,78000000,77.0
69,1000000,79000000,78.0
70,1000000,80000000,79.0
71,1000000,81000000,80.0
72,1000000,82000000,81.0
73,1000000,83000000,82.0
74,1000000,84000000,83.0
75,1000000,85000000,84.0
76,1000000,86000000,85.0
77,1000000,87000000,86.0
78,1000000,88000000,87.0
79,1000000,89000000,88.0
80,1000000,90000000,89.0
81,1000000,91000000,90.0
82,1000000,92000000,91.0
83,1000000,93000000,92.0
84,1000000,94000000,93.0
85,1000000,95000000,94.0
86,1000000,96000000,95.0
87,1000000,97000000,96.0
88,1000000,98000000,97.0
89,1000000,99000000,98.0
90,1100000,10000000,8.090909090909092
91,1100000,11000000,9.0
92,1100000,12000000,9.909090909090908
93,1100000,13000000,10.818181818181818
94,1100000,14000000,11.727272727272727
95,1100000,15000000,12.636363636363637
96,1100000,16000000,13.545454545454545
97,1100000,17000000,14.454545454545455
98,1100000,18000000,15.363636363636363
99,1100000,19000000,16.272727272727273
100,1100000,20000000,17.181818181818183
101,1100000,21000000,18.09090909090909
102,1100000,22000000,19.0
103,1100000,23000000,19.90909090909091
104,1100000,24000000,20.818181818181817
105,1100000,25000000,21.727272727272727
106,1100000,26000000,22.636363636363637
